Common Name,Scientific Name,Federal,State,Occurrence,Classification
California tiger salamander,Ambystoma californiense,T,E,Known,native
Arboreal salamander,Aneides lugubris,,,Possible,native
California slender salamander,Batrachoseps attenuatus,,,Possible,native
Pacific tree frog,Pseudacris regilla,,,Known,native
Western fence lizard,Sceloporus occidentalis,,,Known,native
Western skink,Eumeces skiltonianus,,,Possible,native
Southern alligator lizard,Elgaria multicarinata,,,Known,native
Gopher snake,Pituophis melanoleuca,,,Known,native
Common garter snake,Thamnophis sirtalis,,,Known,native
Western terrestrial garter snake,Thamnophis elegans,,,Known,native
Western rattlesnakes,Crotalus oreganus,,,Known,native
Western pond turtle,Clemmys marmorata,,SC,Known,native
