Common Name,Scientific Name,Federal,State,Occurrence,Classification
Virginia opossum,Didelphis virginianus,,,upland,non-native
salt marsh wandering shrew,Sorex vagrans halicoetes,,,marsh,native
Yuma myotis,Myotis yumanensis,,,all habitats,native
Western red bats,Lasirurs blossevillii,,,all habitats,native
Hoary bats,Lasiurus cinereus,,,all habitats,native
Mexican free-tailed bat,Tadarida brasiliensis,,,all habitats,native
Raccoon,Procyon lotor,,,all habitats,native
Common muskrat,Ondatra zibethicus,,,all habitats,native
Long-tailed weasel,Mustela frenata,,,all habitats,native
Striped skunk,Mephitis mephitis,,,all habitats,native
western spotted skunk,Spilogale gracilis,,,all habitats,native
Gray fox,Urocyon cinereoargenteus,,,all habitats,native
Red fox,Vulpes vulpes,,,all habitats,non-native
Mountain lion,Felis concolor,,FP,all habitats,native
Pacific harbor seal,Phoca vitulina richardsi,,,tidal sloughs,native
California ground squirrel,Spermophilus beecheyi,,,upland,native
Botta's pocket gopher,Thomomys bottae,,,upland,native
Western harvest mouse,Reithrodontomys megalotis,,,all habitats,native
Salt marsh harvest mouse,"Reithrodontomys raviventris
raviventris",E,E,marsh,native
House mouse,Mus musculus,,,all habitats,non-native
Deer mouse,Peromyscus maniculatus,,,all habitats,native
California vole,Microtus californicus,,,all habitats,native
Norway rat,Rattus norvegicus,,,all habitats,non-native
Black rat,Rattus rattus,,,all habitats,non-native
Brush rabbit,Sylvilagus bachmani,,,upland,native
Audubon's cottontail,Sylvilagus audubonii,,,upland,native
Black-tailed jackrabbit,Lepus californicus,,,upland,native
