Common Name,Scientific Name,Occurrence,Classification,Federal,State,Source,Family
California alkaligrass,Puccinellia simplex,,native,,,USFWS / EcoData Plant_List.pdf,Poaceae
spartina hybrids,Spartina alterniflora hybrids,,non-native,,,USFWS / EcoData Plant_List.pdf,Poaceae
California cord grass,Spartina foliosa,,native,,,USFWS / EcoData Plant_List.pdf,Poaceae
European foxtail fescue,Vulpia bromoides,,non-native,,,USFWS / EcoData Plant_List.pdf,Poaceae
small fescue,Vulpia microstachys,,native,,,USFWS / EcoData Plant_List.pdf,Poaceae
rat-tail fescue,Vulpia myuros,,non-native,,,USFWS / EcoData Plant_List.pdf,Poaceae
ripgut brome,Bromus diandrus,,non-native,,,USFWS / EcoData Plant_List.pdf,Poaceae
skunkweed,Navarretia squarrosa,,native,,,USFWS / EcoData Plant_List.pdf,Polemoniacea
sheep sorrel,Rumex acetosella,,non-native,,,USFWS / EcoData Plant_List.pdf,Polygonacae
curly dock,Rumex crispus,,non-native,,,USFWS / EcoData Plant_List.pdf,Polygonacae
fiddle dock,Rumex pulcher,,non-native,,,USFWS / EcoData Plant_List.pdf,Polygonacae
naked buckwheat,Eriogonum nudum,,native,,,USFWS / EcoData Plant_List.pdf,Polygonaceae
buckwheat species,Eriogonum spp.,,native,,,USFWS / EcoData Plant_List.pdf,Polygonaceae
miner's lettuce,Claytonia perfoliata,,native,,,USFWS / EcoData Plant_List.pdf,Portulacaceae
water chickweed,Montia fontana,,native,,,USFWS / EcoData Plant_List.pdf,Portulacaceae
common purslane,Portulaca oleracea,,non-native,,,USFWS / EcoData Plant_List.pdf,Portulacaceae
scarlet pimpernel,Anagallis arvensis,,non-native,,,USFWS / EcoData Plant_List.pdf,Primulaceae
VanHoutte's columbine,Aquilegia eximia,,native,,,USFWS / EcoData Plant_List.pdf,Ranunculaceae
common mousetail,Myosurus minimus,,native,,,USFWS / EcoData Plant_List.pdf,Ranunculaceae
tiny mousetail,Myosurus sessilis,,native,,,USFWS / EcoData Plant_List.pdf,Ranunculaceae
Califonria buttercup,Ranunculus californicus,,native,,,USFWS / EcoData Plant_List.pdf,Ranunculaceae
wavyleaf ceanothus,Ceanothus foliosus,,native,,,USFWS / EcoData Plant_List.pdf,Rhamnaceae
glory mat,Ceanothus gloriosus,,native,,,USFWS / EcoData Plant_List.pdf,Rhamnaceae
Carmel ceanothus,Ceanothus griseus,,native,,,USFWS / EcoData Plant_List.pdf,Rhamnaceae
blueblossom,Ceanothus thyrsiflorus,,native,,,USFWS / EcoData Plant_List.pdf,Rhamnaceae
California coffeeberry,Rhamnus californica,,native,,,USFWS / EcoData Plant_List.pdf,Rhamnaceae
toyon,Heteromeles arbutifolia,,native,,,USFWS / EcoData Plant_List.pdf,Rosaceae
holly-leaf cherry,Prunus ilicifolia,,native,,,USFWS / EcoData Plant_List.pdf,Rosaceae
California wild rose,Rosa californica,,native,,,USFWS / EcoData Plant_List.pdf,Rosaceae
Himalayan blackberry,Rubus armeniacus,,non-native,,,USFWS / EcoData Plant_List.pdf,Rosaceae
California blackberry,Rubus ursinus,,native,,,USFWS / EcoData Plant_List.pdf,Rosaceae
common bedstraw,Galium aparine,,native,,,USFWS / EcoData Plant_List.pdf,Rubiaceae
arroyo willow,Salix lasiolepis,,native,,,USFWS / EcoData Plant_List.pdf,Salicaceae
foothillpenstemon,Antirrhinum vexillo sp.,,native,,,USFWS / EcoData Plant_List.pdf,Scrophulariaceae
dense flower owl's clover,Castilleja densiflora,,native,,,USFWS / EcoData Plant_List.pdf,Scrophulariaceae
