Common Name,Scientific Name,Occurrence,Classification,Federal,State,Source,Family
shepherd's purse,Capsella bursa-pastoris,,non-native,,,USFWS / EcoData Plant_List.pdf,Brassicaceae
hairy bittercress,Cardamine hirsuta,,non-native,,,USFWS / EcoData Plant_List.pdf,Brassicaceae
hoary cress,Cardaria draba,,non-native,,,USFWS / EcoData Plant_List.pdf,Brassicaceae
short podded mustard,Hirschfeldia incana,,non-native,,,USFWS / EcoData Plant_List.pdf,Brassicaceae
perennial pepperweed,Lepidium latifolium,,non-native,,,USFWS / EcoData Plant_List.pdf,Brassicaceae
forked pepperweed,Lepidium oxycarpum,,native,,,USFWS / EcoData Plant_List.pdf,Brassicaceae
radish,Raphanus sativus,,non-native,,,USFWS / EcoData Plant_List.pdf,Brassicaceae
common rock cress,Sibara virginica,,native,,,USFWS / EcoData Plant_List.pdf,Brassicaceae
charlock mustard,Sinapis arvensis,,non-native,,,USFWS / EcoData Plant_List.pdf,Brassicaceae
oriental mustard,Sisymbrium orientale,,non-native,,,USFWS / EcoData Plant_List.pdf,Brassicaceae
California water starwort,Callitriche marginata,,native,,,USFWS / EcoData Plant_List.pdf,Callitrichaceae
flatface downingia,Downingia pulchella,,native,,,USFWS / EcoData Plant_List.pdf,Campanulaceae
California honeysuckle,Lonicera hispidula var. vacillans,,native,,,USFWS / EcoData Plant_List.pdf,Caprifoliaceae
blue elderberry,Sambucus nigra ssp. Cerulea,,native,,,USFWS / EcoData Plant_List.pdf,Caprifoliaceae
Snowberry,Symphoricarpos albus var. laevigatus,,native,,,USFWS / EcoData Plant_List.pdf,Caprifoliaceae
field chickweed,Cerastium arvense,,native,,,USFWS / EcoData Plant_List.pdf,Caryophyllaceae
mouse-ear chickweed,Cerastium glomeratum,,non-native,,,USFWS / EcoData Plant_List.pdf,Caryophyllaceae
sticky sandspurry,Spergularia macrotheca,,native,,,USFWS / EcoData Plant_List.pdf,Caryophyllaceae
salt sandspurry,Spergularia marina,,native,,,USFWS / EcoData Plant_List.pdf,Caryophyllaceae
common chickweed,Stellaria media,,non-native,,,USFWS / EcoData Plant_List.pdf,Caryophyllaceae
ball saltbush,Atriplex fruticulosa,,native,,,USFWS / EcoData Plant_List.pdf,Chenopodiaceae
garden orache,Atriplex hortensis,,non-native,,,USFWS / EcoData Plant_List.pdf,Chenopodiaceae
fat hen,Atriplex patula,,native,,,USFWS / EcoData Plant_List.pdf,Chenopodiaceae
Australian saltbush,Atriplex semibaccata,,non-native,,,USFWS / EcoData Plant_List.pdf,Chenopodiaceae
spearscale,Atriplex triangularis,,native,,,USFWS / EcoData Plant_List.pdf,Chenopodiaceae
five horn bassia,Bassia hyssopifolia,,non-native,,,USFWS / EcoData Plant_List.pdf,Chenopodiaceae
common beet,Beta vulgaris,,non-native,,,USFWS / EcoData Plant_List.pdf,Chenopodiaceae
lamb's quarters,Chenopodium album,,non-native,,,USFWS / EcoData Plant_List.pdf,Chenopodiaceae
glasswort,Salicornia europaea,,native,,,USFWS / EcoData Plant_List.pdf,Chenopodiaceae
salt marsh pickleweed,Salicornia virginica,,native,,,USFWS / EcoData Plant_List.pdf,Chenopodiaceae
opposite-leaf Russian thistle,Salsola soda,,non-native,,,USFWS / EcoData Plant_List.pdf,Chenopodiaceae
Russian thistle,Salsola tragus,,non-native,,,USFWS / EcoData Plant_List.pdf,Chenopodiaceae
bush seep-weed,Suaeda moquinii,,native,,,USFWS / EcoData Plant_List.pdf,Chenopodiaceae
Parish's pickleweed,Salicornia subterminalis,,native,,,USFWS / EcoData Plant_List.pdf,Chenopodiaceae
field bindweed,Convolvulus arvensis,,non-native,,,USFWS / EcoData Plant_List.pdf,Convolvulaceae
alkali weed,Cressa truxillensis,,native,,,USFWS / EcoData Plant_List.pdf,Convolvulaceae
American dogwood,Cornus sericea,,native,,,USFWS / EcoData Plant_List.pdf,Cornaceae
water pygmy-weed,Crassula aquatica,,native,,,USFWS / EcoData Plant_List.pdf,Crassulaceae
sand pygmy-weed,Crassula connata,,native,,,USFWS / EcoData Plant_List.pdf,Crassulaceae
salt marsh dodder,Cuscuta salina,,native,,,USFWS / EcoData Plant_List.pdf,Cuscutaceae
field sedge,Carex praegracilis,,native,,,USFWS / EcoData Plant_List.pdf,Cyperaceae
needle spikerush,Eleocharis acicularis var. acicularis,,native,,,USFWS / EcoData Plant_List.pdf,Cyperaceae
pale spikerush,Eleocharis macrostachya,,native,,,USFWS / EcoData Plant_List.pdf,Cyperaceae
tule,Schoenoplectus acutus var. occidentalis,,native,,,USFWS / EcoData Plant_List.pdf,Cyperaceae
alkali bulrush,Bolboschoenus robustus,,native,,,USFWS / EcoData Plant_List.pdf,Cyperaceae
California Bulrush,Schoenoplectus californicus,,native,,,USFWS / EcoData Plant_List.pdf,Cyperaceae
maritime tule,Bolboschoenus maritimus,,native,,,USFWS / EcoData Plant_List.pdf,Cyperaceae
Fuller's teasel,Dipsacus sativus,,non-native,,,USFWS / EcoData Plant_List.pdf,Dipsacaceae
manzanita,Arctostaphylos spp.,,native,,,USFWS / EcoData Plant_List.pdf,Ericaeae
dove weed,Croton setigerus,,native,,,USFWS / EcoData Plant_List.pdf,Euphorbiaceae
leafy spurge,Euphorbia esula,,non-native,,,USFWS / EcoData Plant_List.pdf,Euphorbiaceae
madwoman's milk,Euphorbia helioscopia,,non-native,,,USFWS / EcoData Plant_List.pdf,Euphorbiaceae
eggleaf spurge,Euphorbia oblongata,,non-native,,,USFWS / EcoData Plant_List.pdf,Euphorbiaceae
petty spurge,Euphorbia peplus,,non-native,,,USFWS / EcoData Plant_List.pdf,Euphorbiaceae
prostrate spurge,Chamaesyce prostrata,,non-native,,,USFWS / EcoData Plant_List.pdf,Euphorbiaceae
Cootamundra wattle,Acacia baileyana,,non-native,,,USFWS / EcoData Plant_List.pdf,Fabaceae
silver wattle,Acacia dealbata,,non-native,,,USFWS / EcoData Plant_List.pdf,Fabaceae
golden wattle,Acacia longifolia,,non-native,,,USFWS / EcoData Plant_List.pdf,Fabaceae
black acacia,Acacia melanoxylon,,non-native,,,USFWS / EcoData Plant_List.pdf,Fabaceae
everblooming acacia,Acacia retinodes,,non-native,,,USFWS / EcoData Plant_List.pdf,Fabaceae
alkali milk vetch,Astragalus tener,,native,,,USFWS / EcoData Plant_List.pdf,Fabaceae
french broom,Genista monspessulana,,non-native,,,USFWS / EcoData Plant_List.pdf,Fabaceae
bird’s-foot trefoil,Lotus corniculatus,,non-native,,,USFWS / EcoData Plant_List.pdf,Fabaceae
lotus,Lotus purshianus,,native,,,USFWS / EcoData Plant_List.pdf,Fabaceae
deerweed,Lotus scoparius,,native,,,USFWS / EcoData Plant_List.pdf,Fabaceae
silver lupine,Lupinus albifrons,,native,,,USFWS / EcoData Plant_List.pdf,Fabaceae
lupine,Lupinus bicolor,,native,,,USFWS / EcoData Plant_List.pdf,Fabaceae
arroyo lupine,Lupinus succulentus,,native,,,USFWS / EcoData Plant_List.pdf,Fabaceae
California burclover,Medicago polymorpha,,non-native,,,USFWS / EcoData Plant_List.pdf,Fabaceae
annual yellow sweetclover,Melilotus indicus,,non-native,,,USFWS / EcoData Plant_List.pdf,Fabaceae
yellow sweetclover,Melilotus officinalis,,non-native,,,USFWS / EcoData Plant_List.pdf,Fabaceae
bearded clover,Trifolium barbigerum,,native,,,USFWS / EcoData Plant_List.pdf,Fabaceae
pale sack clover,Trifolium depauperatum var. amplectens,,native,,,USFWS / EcoData Plant_List.pdf,Fabaceae
dwarf sack clover,Trifolium depauperatum var. depauperatum,,native,,,USFWS / EcoData Plant_List.pdf,Fabaceae
bull clover,Trifolium fucatum,,native,,,USFWS / EcoData Plant_List.pdf,Fabaceae
rose clover,Trifolium hirtum,,non-native,,,USFWS / EcoData Plant_List.pdf,Fabaceae
crimson clover,Trifolium incarnatum,,non-native,,,USFWS / EcoData Plant_List.pdf,Fabaceae
variegated clover,Trifolium variegatum,,native,,,USFWS / EcoData Plant_List.pdf,Fabaceae
tomcat clover,Trifolium willdenovii,,native,,,USFWS / EcoData Plant_List.pdf,Fabaceae
spring vetch,Vicia sativa,,non-native,,,USFWS / EcoData Plant_List.pdf,Fabaceae
common vetch,Vicia sativa ssp. sativa,,non-native,,,USFWS / EcoData Plant_List.pdf,Fabaceae
hairy vetch,Vicia villosa,,non-native,,,USFWS / EcoData Plant_List.pdf,Fabaceae
coast live oak,Quercus agrifolia,,native,,,USFWS / EcoData Plant_List.pdf,Fagaceae
blue oak,Quercus douglasii,,native,,,USFWS / EcoData Plant_List.pdf,Fagaceae
Alkali heath,Frankenia salina,,native,,,USFWS / EcoData Plant_List.pdf,Frankeniaceae
coast silk-tassel bush,Garrya elliptica,,native,,,USFWS / EcoData Plant_List.pdf,Garryaceae
broad-leaf filaree,Erodium botrys,,non-native,,,USFWS / EcoData Plant_List.pdf,Geraniaceae
redstem filaree,Erodium cicutarium,,non-native,,,USFWS / EcoData Plant_List.pdf,Geraniaceae
whitestem filaree,Erodium moschatum,,non-native,,,USFWS / EcoData Plant_List.pdf,Geraniaceae
Carolina geranium,Geranium carolinianum,,native,,,USFWS / EcoData Plant_List.pdf,Geraniaceae
cutleaf geranium,Geranium dissectum,,non-native,,,USFWS / EcoData Plant_List.pdf,Geraniaceae
crane's bill geranium,Geranium molle,,non-native,,,USFWS / EcoData Plant_List.pdf,Geraniaceae
red-flowering currant,Ribes sanguineum,,native,,,USFWS / EcoData Plant_List.pdf,Grossulariaceae
fuschia-flowered gooseberry,Ribes speciosum,,native,,,USFWS / EcoData Plant_List.pdf,Grossulariaceae
