Common Name,Scientific Name,Occurrence,Classification,Federal,State,Source,Abundance Codes,Nests Locally
White-faced Ibis,Plegadis chihi,nests locally,native,,,USFWS ServCat bird checklist 2008,r r r,yes
Turkey Vulture,Cathartes aura,common,native,,,USFWS ServCat bird checklist 2008,c c c c,
Osprey,Pandion haliaetus,uncommon,native,,,USFWS ServCat bird checklist 2008,u r u u,
Greater Yellowlegs,Tringa melanoleuca,common,native,,,USFWS ServCat bird checklist 2008,c u c c,
White-tailed Kite,Elanus coeruleus,nests locally,native,,SP,USFWS ServCat bird checklist 2008,c c c c,yes
Lesser Yellowlegs,Tringa flavipes,uncommon,native,,,USFWS ServCat bird checklist 2008,o o u o,
Bald Eagle,Haliaeetus leucocephalus,rare,native,,E,USFWS ServCat bird checklist 2008,r r,
Willet,Catoptrophorus semipalmatus,abundant,native,,,USFWS ServCat bird checklist 2008,c u a a,
Northern Harrier,Circus cyaneus,nests locally,native,,SSC,USFWS ServCat bird checklist 2008,c c c c,yes
Wandering Tattler,Heteroscelus incanus,rare,native,,,USFWS ServCat bird checklist 2008,r r,
Sharp-shinned Hawk,Accipiter striatus,uncommon,native,,,USFWS ServCat bird checklist 2008,o u o,
Spotted Sandpiper,Actitis macularia,occasional,native,,,USFWS ServCat bird checklist 2008,o o r,
Cooper's Hawk,Accipiter cooperii,uncommon,native,,,USFWS ServCat bird checklist 2008,o r u u,
Whimbrel,Numenius phaeopus,uncommon,native,,,USFWS ServCat bird checklist 2008,o o u u,
Red-shouldered Hawk,Buteo lineatus,uncommon,native,,,USFWS ServCat bird checklist 2008,o o u o,
Long-billed Curlew,Numenius americanus,common,native,,,USFWS ServCat bird checklist 2008,c u c c,
Red-tailed Hawk,Buteo jamaicensis,nests locally,native,,,USFWS ServCat bird checklist 2008,c c c c,yes
Marbled Godwit,Limosa fedoa,abundant,native,,,USFWS ServCat bird checklist 2008,a c a a,
Ferruginous Hawk,Buteo regalis,rare,native,,,USFWS ServCat bird checklist 2008,r r,
Ruddy Turnstone,Arenaria interpres,occasional,native,,,USFWS ServCat bird checklist 2008,o r o o,
Rough-legged Hawk,Buteo lagopus,rare,native,,,USFWS ServCat bird checklist 2008,r r r,
Black Turnstone,Arenaria melanocephala,occasional,native,,,USFWS ServCat bird checklist 2008,o r o o,
Golden Eagle,Aquila chrysaetos,occasional,native,,SP,USFWS ServCat bird checklist 2008,r r o o,
Red Knot,Calidris canutus,uncommon,native,,,USFWS ServCat bird checklist 2008,u r u o,
Sanderling,Calidris alba,uncommon,native,,,USFWS ServCat bird checklist 2008,u r u u,
Semipalmated Sandpiper,Calidris pusilla,rare,native,,,USFWS ServCat bird checklist 2008,r r,
American Kestrel,Falco sparverius,nests locally,native,,,USFWS ServCat bird checklist 2008,u u u u,yes
Western Sandpiper,Calidris mauri,abundant,native,,,USFWS ServCat bird checklist 2008,a c a a,
Merlin,Falco columbarius,uncommon,native,,,USFWS ServCat bird checklist 2008,o u u,
Least Sandpiper,Calidris minutilla,common,native,,,USFWS ServCat bird checklist 2008,c u c c,
Peregrine Falcon,Falco peregrinus,nests locally,native,,,USFWS ServCat bird checklist 2008,u u u u,yes
Baird's Sandpiper,Calidris bairdii,rare,native,,,USFWS ServCat bird checklist 2008,r r r,
Prairie Falcon,Falco mexicanus,rare,native,,,USFWS ServCat bird checklist 2008,r r,
Pectoral Sandpiper,Calidris melanotos,occasional,native,,,USFWS ServCat bird checklist 2008,r r o,
Dunlin,Calidris alpina,abundant,native,,,USFWS ServCat bird checklist 2008,a r a a,
Stilt Sandpiper,Calidris himantopus,rare,native,,,USFWS ServCat bird checklist 2008,r,
Black Rail,,rare,,,,USFWS ServCat bird checklist 2008,r r,
Ruff,Philomachus pugnax,rare,native,,,USFWS ServCat bird checklist 2008,r r r,
Clapper Rail,,nests locally,,,,USFWS ServCat bird checklist 2008,u u u u,yes
Short-billed Dowitcher,Limnodromus griseus,abundant,native,,,USFWS ServCat bird checklist 2008,c u a c,
Virginia Rail,Rallus limicola,common,native,,,USFWS ServCat bird checklist 2008,u c u,
Long-billed Dowitcher,Limnodromus scolopaceus,abundant,native,,,USFWS ServCat bird checklist 2008,a u a a,
Sora,Porzana carolina,common,native,,,USFWS ServCat bird checklist 2008,u c u,
Wilson's Snipe,Gallinago delicata,uncommon,native,,,USFWS ServCat bird checklist 2008,u u u,
Common Moorhen,Gallinula chloropus,nests locally,native,,,USFWS ServCat bird checklist 2008,u u u u,yes
Wilson's Phalarope,Phalaropus tricolor,abundant,native,,,USFWS ServCat bird checklist 2008,o a u r,
American Coot,Fulica americana,nests locally,native,,,USFWS ServCat bird checklist 2008,c c a a,yes
