Common Name,Scientific Name,Occurrence,Classification,Federal,State,Source,Obs Count
California Slender Salamander,Batrachoseps attenuatus,Possible,native,,,iNaturalist species_counts place_id=50136,3
Pacific chorus frog,Pseudacris regilla,Known,native,,,iNaturalist species_counts place_id=50136,1
Western Fence Lizard,Sceloporus occidentalis,Known,native,,,iNaturalist species_counts place_id=50136,94
Gopher Snake,Pituophis catenifer,iNaturalist observations: 36,,,,iNaturalist species_counts place_id=50136,36
Southern Alligator Lizard,Elgaria multicarinata,Known,native,,,iNaturalist species_counts place_id=50136,3
North American Racer,Coluber constrictor,iNaturalist observations: 2,,,,iNaturalist species_counts place_id=50136,2
Western Rattlesnake,Crotalus oreganus,Known,native,,,iNaturalist species_counts place_id=50136,1
